name,major
user733,Public Policy
user734,N/A
user735,Computer Science
user736,Psychology
user737,Computer Science
user738,Astrophysics
user739,N/A
user740,International Relations
user740,Political Science
user741,Computer Science
user742,Marketing
user743,N/A
user744,N/A
user745,Biological Sciences
user746,English
user746,Political Science
user747,Neuroscience
user748,Computer Science
user748,Economics
user749,Political Science
user749,Jazz Studies
user750,Computer Science
user751,Mathematics
user752,Philosophy
user752,Cognitive Science
user753,Economics
user753,Music
user754,Engineering
user754,Computer Science
user755,N/A
user756,Electrical Engineering
user757,Molecular and Cellular Biology
user757,Astronomy
user758,Electrical Engineering
user759,Chemical Engineering
user760,Psychology
user760,Pre-Med
user761,Economics
user761,Finance
user762,Communication Studies
user763,Mathematical Sciences
user764,N/A
user765,Linguistics
user766,N/A
user767,Computer Science
user768,Computer Science
user769,Electrical & Computer Engineering
user770,Business Management
user770,Administration
user771,Computer Science
user771,Music
user772,Computer Science
user773,History
user774,N/A
user775,Neuroscience
user776,Accounting
user777,Economics
user778,Journalism
user778,Political Science
user779,Computing
user779,Information Technologies
user780,Digital Media Management
user781,Economics
user781,Government
user782,Economics
user782,Statistics
user783,International Relations
user784,Chemical Engineering
user785,Electrical Engineering
user786,N/A
user787,N/A
user788,N/A
user789,N/A
user790,Political Science
user790,Psychology
user791,Neurosciences
user792,Anthropology
user792,Art History
user792,Archaeology
user792,French
user793,Physics
user793,Quantum Molecular Engineering
user794,Government
user794,Law
user795,Game Design
user795,Development
user796,Engineering
user797,N/A
user798,N/A
user799,Biology
user800,Musical Theater
user801,Textile Engineering
user802,Political Science
user802,Finance
user803,Computer Science
user803,Digital Media
user804,Computer Science
user805,Linguistics
user805,Anthropology
user806,Psychology
user806,Pre-Med
user807,Chemical Engineering
user808,Computer Engineering
user809,Mathematics
user809,Philosophy
user810,Computer Science
user810,History
user811,Engineering
user812,Psychology
user813,Electrical Engineering
user813,Computer Science
user814,Film
user815,Biology
user815,Anthropology
user815,Pre-Med
user816,Bioengineering
user817,N/A
user818,N/A
user819,N/A
user820,N/A
user821,Computer Science
user822,Computer Science
user823,Computer Science
user824,Business Administration
user825,Chemical Engineering
user826,Computer Science
user827,Biological Sciences
user827,Pre-Med
user828,Applied Economics
user828,Management
user828,Finance
user828,Entrepreneurship
user828,Pre-Law
user829,Computer Science
user829,Artificial Intelligence
user830,Computer Science
user831,Political Science
user831,Economics
user831,Pre-Law
user831,Foreign Service
user832,Economics
user832,Mathematics
user833,Computer Science
user833,Linguistics
user834,Applied Mathematics
user834,Statistics
user835,Nursing
user835,Public Health
user836,Applied Mathematics
user837,Computer Science
user837,Physics
user838,Cybersecurity
user839,Computer Science
user840,Mathematics
user840,Chemistry
user841,Public Policy
user841,Business
user842,Applied Mathematics
user843,Computer Science
user844,Business Administration
user845,Computer Science
user846,Engineering
user846,Bioengineering
user846,Biochemistry
user847,Computer Science
user848,Bioengineering
user848,NROTC
user849,Anthropology
user849,Health
user849,Medicine
user850,Psychology
user850,Neuroscience
user851,Electrical Engineering
user851,Computer Science
user852,Earth System Sciences
user853,Cognitive Science
user854,Biology
user854,Linguistics
user854,Geology
user855,Engineering
user855,Computer Science
user856,Computer Science
user857,Bioengineering
user857,Computer Science
user858,Political Economy
user859,Information Science
user859,Law
user859,Justice
user859,Social Change
user860,Public and International Affairs
user861,Statistics
user862,Public Health
user862,Pre-Med
user863,Psychological Sciences
user863,Marine Sciences
user863,Italian Studies
user863,Pre-Med
user864,Political Science
user864,Pre-Law
user865,Artificial Intelligence
user866,Urban Technology
user867,Business Honors
user868,Environmental Policy
user869,Behavioral Economics
user869,Psychology
user870,Electrical Engineering
user871,Government
user871,History
user871,Pre-Law
user872,Biostatistics
user873,Electrical and Computer Engineering
user874,Political Science
user874,Environmental Studies
user875,Business
user876,Electrical Engineering
user877,Computer Science
user878,Computer Science
user878,Linguistics
user879,Molecular Environmental Biology
user880,Engineering
user880,Mechanical Engineering
user881,Physics
user882,N/A
user883,Biometry and Statistics
user884,N/A
user885,Pure Math
user885,Computer Engineering
user886,Biochemistry
user886,Pre-Med
user887,Chemistry
user888,First Year Engineering
user889,Computer Science
user890,Aerospace Engineering
user891,Physics
user892,Molecular Engineering
user893,Wildlife Biology
user894,Computer Science
user895,Bachelor of Business Administration
user896,Aerospace Engineering
user897,Public Health
user897,Political Science
user898,Political Science
user899,Psychology
user899,Brain Sciences
user900,Economics
user900,International Relations
user901,Chemistry
user901,Biology
user902,Mechanical Engineering
user903,Population Health
user904,Computer Science
user905,History
user905,Political Science
user906,Marine Science
user907,Computer Science
user908,Mechanical Engineering
user909,Political Science
user910,Molecular Biology
user911,Government
user912,Media Studies
user912,Data Science
user913,Computer Science
user914,Economics
user915,Aerospace Engineering
user916,Biochemistry
user917,Life Sciences
user918,Computer Science
user919,Microbiology
user919,Immunology
user919,Molecular Genetics
user920,N/A
user921,Computational and Applied Math
user921,Economics
user922,Computer Science
user922,Political Science
user923,Computer Science
user923,Education
user923,Learning Sciences
user924,Applied Physics
user925,Computer Engineering
user926,N/A
user927,Civil Engineering
user928,N/A
user929,Applied Math
user930,Pharmacy
user931,Statistics
user932,Computer Science
user933,Computer Science
user933,Political Science
user934,Bioengineering
user935,Robotics Engineering
user936,Aeronautical Engineering
user937,Economics
user938,N/A
user939,Business Economics
user939,Public Policy
user939,Gender
user939,Sexuality
user939,and Women's Studies
user940,Computer Science
user940,Government
user941,Mathematics
user942,Epidemiology
user942,International Relations
user942,Archaeology
user943,Political Science
user944,Astronomy
user944,Physics
user944,Computer Science
user945,Computer Science
user946,Psychology
user947,Computer Science
user948,Voice/Opera
user949,Aerospace Engineering
user950,Biochemistry
user951,Biology
user952,N/A
user953,Biomedical Engineering
user953,Art
user954,Animal Sciences
user955,Biosciences
user955,Biochemistry
user956,N/A
user957,N/A
user958,Electrical and Computer Engineering
user959,N/A
user960,Computer Science
user960,Mathematics
user961,Mechanical Engineering
user962,Computer Science
user962,Pre-Med
user963,N/A
user964,Economics
user965,Political Science
user965,Symbolic Systems
user966,Computer Engineering
user967,Archaeology
user968,Film and TV
user969,Computer Science
user969,Engineering
user970,Finance
user971,Chemistry
user971,Sociology
user972,N/A
user973,Science
user973,Technology
user973,and Society
user973,Statistics
user974,Information Systems
user975,Economics
user975,Mathematics
user975,Linguistics
user976,Computer Science
user977,Microbiology
user977,Cell Sciences
user978,Chemical and Physical Biology
user979,Computer Engineering
user980,Mechanical Engineering
user981,Engineering
user982,Business
user983,N/A
user984,Computational Biology
user984,Computer Science
user985,Computer Science
user985,Mathematics
user985,Economics
user986,Physics
user986,Computer Science
user987,Computer Science
user987,Mathematics
user988,Economics
user989,Neuroscience
user990,Stage Management
user990,Music Industry
user991,Computer Science
user992,Computer Science
user993,Electrical & Computer Engineering
user994,Mechanical Engineering
user995,Molecular Cellular and Developmental Biology
user995,Marine Biology
user996,Political Science
user996,Rhetoric
user997,Computer Science
user998,N/A
user999,Cognitive Science
user1000,Electrical and Electronics Engineering
user1000,Cybersecurity
user1001,Business
user1002,Marketing
user1003,Computer Science
user1003,Management Science & Engineering
user1004,Architectural Studies
user1005,Electrical and Computer Engineering
user1006,Political Economy
user1007,Undeclared Business
user1008,Computer Science
user1009,N/A
user1010,Economics
user1010,Mathematics
user1011,Chemical Engineering
user1011,Electrical Engineering
user1012,Computer and Systems Engineering
user1012,Design
user1012,Innovation
user1012,and Society
user1012,Physics
user1013,Mathematics
user1013,Computer Science
user1014,Computer Engineering
user1015,Data Science
user1015,Computer Science
user1016,Biological Sciences
user1016,Neurobiology
user1016,Chemistry
user1016,Psychology
user1017,English
user1017,Black Studies
user1018,Rotman Commerce
user1019,Astrophysics
user1019,Astronomy
user1019,Space Sciences
user1019,Instrumentation
user1020,N/A
user1021,Environmental Studies
user1021,Economics
user1021,Politics
user1021,Government
user1021,International Relations
user1022,English
user1022,Black Studies
user1022,Pre-Law
user1023,Electrical and Electronic Engineering
user1024,Acting
user1025,Astrophysics
user1026,Applied Mathematics
user1026,Linguistics
user1027,Physics
user1027,Computer Science
user1028,Robotics
user1029,Pre-Law
user1030,Computer Science
user1031,N/A
user1032,N/A
user1033,Genetics
user1033,Data Science
user1034,Economics
user1034,Math
user1035,Biology
user1035,Music
user1036,Mechanical Engineering
user1036,Comedy
user1037,Computer Science
user1038,Animal Science
user1039,Chemistry
user1039,Computer Science
user1040,Biological Sciences
user1040,Entomology
user1041,Biology
user1042,Electrical and Computer Engineering
user1043,N/A
user1044,Computer Science
user1045,N/A
user1046,Electrical and Computer Engineering
user1046,Cognitive Science
user1047,N/A
user1048,Computer Information Systems
user1049,N/A
user1050,Human Biology
user1051,N/A
user1052,Biophysics
user1053,Mechatronics Engineering
user1054,Engineering
user1054,Aerospace
user1055,N/A
user1056,N/A
user1057,N/A
